team,lat,lng,points
1,19.416058,-99.071635,2738
1,19.413405,-99.062856,10355
2,19.415099,-99.074338,6272
1,19.419762,-99.078319,6000
1,19.417165,-99.097945,13821
1,19.419571,-99.096745,4425
1,19.413075,-99.093332,5000
1,19.420067,-99.092387,5094
2,19.422964,-99.175823,5000
2,19.43118,-99.175893,6161
1,19.401056,-99.184055,18856
1,19.40142,-99.184625,6255
2,19.400571,-99.184733,6182
2,19.4119,-99.187452,4000
1,19.403509,-99.196722,4000
3,19.410288,-99.20241,25654
2,19.438471,-99.19765,6613
2,19.434797,-99.196532,3032
2,19.407505,-99.183867,1988
3,19.412615,-99.198347,13009
1,19.408257,-99.193783,2503
3,19.410147,-99.197206,10575
1,19.418236,-99.190309,6946
2,19.406714,-99.189906,2000
2,19.429171,-99.194036,3475
1,19.421355,-99.19766,2000
1,19.420843,-99.191351,47783
2,19.433546,-99.191027,6152
2,19.424012,-99.179306,3613
2,19.426026,-99.186668,1658
1,19.425436,-99.181883,4000
2,19.419266,-99.185797,4955
1,19.416818,-99.180773,6386
1,19.413583,-99.188271,5507
1,19.669966,-99.207445,14356
1,19.669964,-99.206448,3000
3,19.674109,-99.201304,4000
2,19.670858,-99.217359,10559
2,19.675241,-99.221948,14282
3,19.294042,-98.895234,4000
2,19.289318,-98.920947,2000
3,35.361234,-119.002631,4000
1,19.445732,-99.087127,6000
1,19.420084,-99.088052,2000
2,19.430731,-99.0997,3781
0,19.434583,-99.08464,0
2,19.43246,-99.094501,9808
1,19.425654,-99.092796,18054
2,19.427391,-99.097946,6000
1,19.434068,-99.084885,4146
2,19.44324,-99.082495,6000
2,19.436385,-99.080712,5000
2,19.440842,-99.094701,6670
1,19.441446,-99.095899,2800
1,19.439771,-99.085442,13797
2,19.489003,-99.144736,11923
2,19.480844,-99.141207,5732
2,19.471127,-99.110081,10081
2,19.281729,-99.637592,4021
1,19.256582,-99.663122,6462
2,19.287979,-99.656126,4000
2,19.274831,-99.664614,6428
2,19.257206,-99.647605,4000
2,19.273422,-99.659651,6018
1,19.279099,-99.65162,4000
2,19.273815,-99.647074,3928
3,19.270377,-99.649859,4000
1,19.271893,-99.652754,2000
2,19.269675,-99.661018,5420
1,19.270162,-99.653812,3500
1,19.277247,-99.640212,5500
2,19.2666,-99.640943,6000
2,19.267966,-99.639638,6000
1,19.260483,-99.638732,2000
1,19.276202,-99.639621,6000
2,19.258317,-99.638396,6000
2,19.265165,-99.651017,4879
1,19.257787,-99.64351,4000
2,19.264063,-99.650401,6000
1,19.26026,-99.640722,4000
1,19.36474,-99.221236,3000
1,19.363648,-99.220947,2000
2,19.362398,-99.201725,3000
2,19.368198,-99.207173,10128
1,19.36502,-99.192095,40730
2,19.407489,-99.018539,6000
2,19.377811,-99.010191,1500
2,19.39372,-99.01531,6000
1,19.395771,-99.019537,6210
2,19.38356,-98.994877,4000
2,19.388361,-98.998748,2500
1,19.388158,-99.003396,2000
2,19.391632,-99.010433,6278
1,19.39897,-99.000596,2137
2,19.403053,-99.009284,13755
2,19.394923,-99.00716,7870
1,19.401277,-99.005278,7804
3,19.313727,-99.309996,4699
3,19.312025,-99.310341,4000
2,19.417986,-99.161203,30298
2,19.420004,-99.166309,5289
2,19.410901,-99.169554,6000
1,19.412146,-99.159376,3056
1,19.408295,-99.166831,2000
2,19.417351,-99.164526,7674
1,19.39773,-99.14132,5225
2,19.40105,-99.135494,2000
2,19.406344,-99.14041,4000
1,19.411932,-99.144724,6000
1,19.398591,-99.150961,16618
1,19.40748,-99.154009,2000
1,19.404744,-99.157986,2700
1,19.405844,-99.166648,10292
3,19.40202,-99.155381,4500
1,19.405149,-99.149887,2000
1,19.409485,-99.153764,3500
1,19.414307,-99.145804,5491
1,19.413955,-99.135084,7352
1,19.579367,-99.222923,2000
1,19.55788,-99.216717,18011
1,19.56,-99.219579,10542
1,19.550621,-99.213975,4420
2,19.559151,-99.215655,10072
1,19.549782,-99.219315,10838
2,19.544189,-99.223938,10251
1,19.546225,-99.240362,6000
2,19.549932,-99.239295,5500
2,19.554406,-99.241481,6451
2,19.543791,-99.235317,1500
2,19.558113,-99.230758,4000
2,19.547008,-99.226897,6100
3,19.552854,-99.223333,2000
1,19.567774,-99.240255,5000
1,19.562614,-99.244957,8110
2,19.581528,-99.225463,7385
1,19.576424,-99.232989,6109
1,19.575008,-99.21863,3500
1,19.575201,-99.233173,31550
3,19.575492,-99.226934,2500
3,19.565526,-99.221754,6000
1,35.366358,-119.019051,10218
2,35.377335,-119.021355,50000
1,35.375145,-119.016352,7922
2,35.376945,-119.008206,8602
1,35.376477,-119.019932,4000
1,35.381817,-118.989663,4000
2,35.372989,-119.013536,6000
,,,
1,20.598375,-100.447662,23307
3,20.620181,-100.444356,5325
2,20.622046,-100.449681,6152
2,20.606526,-100.435527,5000
2,20.606229,-100.428985,2000
2,19.397404,-99.220634,12365
1,19.371245,-99.213555,6523
1,19.387858,-99.21436,22251
2,19.49768,-99.134593,1000
1,19.511421,-99.138744,6146
1,19.519424,-99.14227,2000
1,19.514419,-99.141129,6597
1,19.51892,-99.137699,6000
1,19.261299,-99.127729,11162
0,19.232419,-99.119547,0
1,19.244343,-99.116788,6708
1,19.263174,-99.1197,4000
2,19.251903,-99.119182,2000
3,19.249085,-99.120119,2000
1,19.251234,-99.115664,2000
1,19.253182,-99.116306,6242
2,19.254363,-99.10667,2500
1,19.247134,-99.103818,4000
1,19.256585,-99.109458,5000
3,19.243896,-99.104105,18667
3,19.236057,-99.116675,8078
1,19.241012,-99.11214,6000
1,19.416995,-99.110726,700
2,19.417909,-99.101949,10645
1,19.415938,-99.112161,10055
3,19.385286,-99.106111,3000
1,19.410812,-99.131164,2500
2,19.416522,-99.112763,4000
2,19.412524,-99.123878,8494
1,19.41069,-99.121946,4000
2,19.415696,-99.106137,4000
1,19.398127,-99.110106,1206
2,19.387674,-99.111988,6000
2,19.396781,-99.104479,6000
2,19.390769,-99.11756,3500
1,19.409733,-99.104746,2226
1,19.3901,-99.121128,10208
2,19.398336,-99.121661,717
1,19.398672,-99.113291,2000
1,19.40533,-99.115427,5000
1,19.400175,-99.106499,5051
2,19.409272,-99.122452,3774
1,19.402348,-99.122061,4865
1,19.401498,-99.109297,6000
2,19.487302,-99.191267,12727
1,19.476936,-99.184047,1356
1,19.480874,-99.186469,4000
1,19.466461,-99.186501,9630
2,19.472469,-99.188304,6000
2,19.470541,-99.179019,10140
3,19.458496,-99.188414,4985
2,19.455512,-99.179308,2000
2,19.451391,-99.184676,13110
1,19.465627,-99.185392,2000
3,19.465058,-99.182211,4529
2,19.456228,-99.194117,4657
2,19.453643,-99.200295,2000
2,19.459955,-99.203595,2000
1,19.456181,-99.202582,4649
1,19.456154,-99.20794,5782
2,19.464999,-99.207777,6000
2,19.469792,-99.207305,2500
1,19.475249,-99.204384,2160
1,19.473921,-99.216611,4000
1,19.468704,-99.194161,2000
1,19.470294,-99.197249,18511
2,19.472244,-99.191222,5606
2,19.476451,-99.195767,3500
1,19.479561,-99.189907,5542
2,19.351105,-99.044595,4000
2,19.372517,-99.033182,2000
3,19.345375,-99.034735,7812
1,19.36684,-99.086054,8386
1,19.366358,-99.082986,6000
2,19.370994,-99.076156,3357
2,19.367227,-99.068886,6193
2,19.396594,-99.047975,4000
1,19.391265,-99.046327,9404
2,19.388198,-99.047068,14831
1,19.385228,-99.035843,4778
2,19.385493,-99.04253,6000
2,19.383223,-99.031391,6000
2,19.390103,-99.034373,5100
2,19.378111,-99.015409,5305
1,19.373208,-99.016866,14725
2,19.355763,-99.032612,3500
3,19.334842,-99.029347,5562
1,19.342714,-99.039808,6531
2,19.337656,-99.04482,4000
2,19.339133,-99.044005,6000
2,19.342745,-99.047292,5000
3,19.336536,-99.047789,5697
3,19.337539,-99.059097,4000
2,19.331449,-99.060563,3044
3,19.342566,-99.055461,4000
1,19.336655,-99.064144,4000
2,19.347496,-99.0607,2000
2,19.349674,-99.064415,9217
3,19.345917,-99.063631,2000
1,19.34275,-99.073071,2000
2,19.348649,-99.061344,5653
0,19.351709,-99.077069,0
1,19.35261,-99.073136,2000
2,19.346908,-99.074908,6000
2,19.364262,-99.07883,4000
2,19.360177,-99.064586,2536
1,19.361481,-99.073432,2000
2,19.355678,-99.072217,116
1,19.36048,-99.064172,2000
2,19.498735,-99.112831,5500
1,19.503226,-99.111415,2904
1,19.502293,-99.120914,18340
1,19.501721,-99.117842,4102
1,19.511913,-99.102616,307
1,19.486796,-99.094319,2000
2,19.470402,-99.105915,5801
2,19.488844,-99.10703,2000
2,19.489471,-99.103224,6093
2,19.483306,-99.108951,2000
2,19.481061,-99.103613,2000
2,19.482438,-99.106861,18633
1,19.4937,-99.121237,4088
2,19.491654,-99.119353,6000
3,19.48891,-99.11762,3000
2,19.485608,-99.115305,40161
1,19.486566,-99.122973,6000
2,19.48072,-99.137617,3500
2,19.491178,-99.127571,11078
1,19.485002,-99.124994,14165
2,19.487658,-99.1345,2000
2,19.486328,-99.131481,11637
1,19.500489,-99.130886,6048
1,19.498625,-99.134797,2000
1,19.495905,-99.133409,2000
1,19.494255,-99.127747,4000
2,19.498285,-99.14113,3500
1,19.4972,-99.141402,2408
1,19.508363,-99.140082,5500
2,19.502257,-99.126872,5253
1,19.504107,-99.139392,10355
3,19.516154,-99.126593,4000
3,19.509586,-99.129951,4000
3,19.512527,-99.130503,4000
1,19.509514,-99.128292,14035
2,19.516518,-99.126872,3104
2,19.520228,-99.10844,13916
2,19.515445,-99.101221,18767
2,19.503484,-99.077794,2000
2,19.499834,-99.08213,9458
2,19.331951,-98.94242,2000
2,19.327973,-98.937423,24267
2,19.333198,-98.938795,6100
1,19.319812,-98.94053,1584
1,19.315233,-98.922839,5942
1,19.314221,-98.92074,11007
3,19.314911,-98.932276,3734
1,19.315137,-98.928884,3500
1,19.311438,-98.9254,5502
2,19.32152,-98.943728,5000
1,19.318819,-98.898707,9507
1,19.30977,-98.909265,4000
1,19.307444,-98.919879,6000
2,19.308804,-98.91852,2000
1,19.307496,-98.917906,6370
2,19.294729,-98.930269,3500
1,19.295178,-98.945776,2000
1,19.324496,-98.950473,6000
1,19.309064,-98.968601,3792
2,19.330291,-98.947595,13631
1,19.35005,-98.961025,6921
1,19.440282,-99.158891,5000
1,19.436504,-99.156927,5238
2,19.444546,-99.166808,4000
1,19.4364,-99.162925,2000
2,19.438163,-99.162685,2000
2,19.453579,-99.177276,2848
2,19.449654,-99.156871,4000
1,19.450519,-99.159745,6470
2,19.454479,-99.167102,2275
3,19.453762,-99.173264,2000
2,19.459588,-99.161872,2000
2,19.463338,-99.161252,2000
2,19.460624,-99.167218,4000
2,19.469705,-99.166169,6000
2,19.462198,-99.166588,6000
2,19.471768,-99.157646,2000
1,19.473365,-99.160706,5000
2,19.473996,-99.15509,6191
1,19.47226,-99.154478,3500
1,19.475454,-99.147009,6000
2,19.473742,-99.145969,6000
2,19.479285,-99.140229,2000
2,19.471755,-99.145134,2000
1,19.469134,-99.137574,6643
2,19.480313,-99.128802,17047
1,19.47686,-99.131429,10052
1,19.477434,-99.136153,2000
2,19.477208,-99.107429,5500
1,19.480592,-99.119456,7542
1,19.471882,-99.118852,2000
3,19.475435,-99.116935,4000
2,19.458163,-99.114092,20662
1,19.468931,-99.123205,6000
2,19.469296,-99.109763,3827
1,19.461208,-99.118215,9229
1,19.462935,-99.110162,2000
3,19.469959,-99.10136,4100
2,19.460695,-99.10572,15323
2,19.452894,-99.108719,16810
2,19.45139,-99.109292,10225
1,19.452148,-99.101851,2000
2,19.436794,-99.103722,3152
3,19.437715,-99.110783,1000
1,19.440764,-99.118189,2000
2,19.439754,-99.118505,10721
3,19.436031,-99.114845,1000
1,19.441267,-99.113631,16926
1,19.424559,-99.109175,17746
