pokemon,lat,lng
jynx,19.44965,-99.1568705
jynx,19.4488385,-99.1565734
jynx,19.44897,-99.1575685
jynx,19.4502776,-99.1568403
slowpoke,19.4357619,-99.1441192
slowpoke,19.4354334,-99.1456944
slowpoke,19.4351046,-99.1427413
slowpoke,19.4349376,-99.1441615
slowpoke,19.436521,-99.1439979
slowpoke,19.4362327,-99.1440099
slowpoke,19.4363389,-99.1454771
slowpoke,19.4354789,-99.1424087
ivysaur,19.291879,-99.1984011
krabby,19.2904056,-99.205277
weedle,19.2884613,-99.21018
krabby,19.2876917,-99.1945052
weedle,19.2918841,-99.1884005
krabby,19.2904158,-99.1865391
krabby,19.2928056,-99.1935772
weedle,19.2954688,-99.2024124
krabby,19.2885221,-99.2113602
staryu,19.2956057,-99.2105652
staryu,19.2955042,-99.2091474
staryu,19.2950643,-99.2107125
staryu,19.2944646,-99.2095745
staryu,19.2940224,-99.2070016
staryu,19.2949855,-99.2082126
staryu,19.2955834,-99.2091957
weedle,19.2917828,-99.2081952
weedle,19.2918841,-99.2038929
weedle,19.2968561,-99.2013556
krabby,19.2945574,-99.1980726
weedle,19.2940106,-99.189924
ivysaur,19.2934841,-99.1920322
ivysaur,19.2903145,-99.1988155
ivysaur,19.2870639,-99.2057168
krabby,19.2866689,-99.1954869
ivysaur,19.2967548,-99.1974932
seel,19.4709445,-99.2010954
seel,19.4693638,-99.2022327
seel,19.469142,-99.200099
seel,19.4716025,-99.2000936
seel,19.4708551,-99.1968481
seel,19.4709481,-99.1961373
seel,19.4698895,-99.1963358
seel,19.4674925,-99.1954654
seel,19.467189,-99.1922146
seel,19.4695459,-99.1913885
slowpoke,19.4861822,-99.1159966
slowpoke,19.4864023,-99.1162732
slowpoke,19.485846,-99.1162464
slowpoke,19.4869586,-99.1160426
slowpoke,19.4869333,-99.1153023
diglett,19.4078103,-99.0900171
diglett,19.408458,-99.0962613
diglett,19.4043698,-99.0892875
diglett,19.4058877,-99.084481
diglett,19.4031757,-99.0857899
diglett,19.4046329,-99.092356
diglett,19.4009494,-99.089309
ponyta,19.4296461,-99.1980833
ponyta,19.4297574,-99.2000815
ponyta,19.4292237,-99.1969427
ponyta,19.4293451,-99.1959254
ponyta,19.4289758,-99.1943537
voltorb,19.4155716,-99.1960421
voltorb,19.4157031,-99.1945454
voltorb,19.4159561,-99.1955271
voltorb,19.416548,-99.1960797
voltorb,19.4149543,-99.1959563
spearow,19.4143826,-99.1939607
spearow,19.4142359,-99.1944435
spearow,19.414838,-99.1941914
spearow,19.4145041,-99.1944113
spearow,19.4146862,-99.1948995
voltorb,19.4143725,-99.195511
bellsprout,19.3086298,-99.2572501
bellsprout,19.3082924,-99.2570731
bellsprout,19.3086146,-99.2577115
bellsprout,19.3083103,-99.2579515
bellsprout,19.3082423,-99.2565434
ponyta,19.4119966,-99.1694869
ponyta,19.4108911,-99.1703586
ponyta,19.4107601,-99.169558
diglett,19.4105172,-99.1704807
diglett,19.4116961,-99.1700783
ponyta,19.4137907,-99.1691986
diglett,19.4129761,-99.1687533
diglett,19.4122223,-99.1684797
ponyta,19.4118226,-99.1686621
diglett,19.4112761,-99.1688982
ponyta,19.4118731,-99.170164
drowzee,19.4153363,-99.1711504
drowzee,19.41416,-99.1717198
drowzee,19.4137704,-99.1716126
drowzee,19.4151213,-99.1717628
drowzee,19.4160168,-99.1706362
drowzee,19.4156121,-99.1705665
vulpix,19.4240775,-99.1155061
vulpix,19.4237271,-99.1154096
vulpix,19.4242937,-99.1159084
vulpix,19.4247439,-99.1149965
vulpix,19.4241874,-99.1148302
rattata,19.3647373,-99.0452564
rattata,19.3644742,-99.0432823
rattata,19.3676119,-99.0458572
rattata,19.3657698,-99.0441835
rattata,19.3632393,-99.0476811
rattata,19.3622069,-99.0420377
rattata,19.3656281,-99.0417159
sandshrew,19.4359779,-99.0529626
paras,19.4339562,-99.0592468
paras,19.4327421,-99.0539896
sandshrew,19.4367891,-99.0566289
paras,19.4382468,-99.0536812
sandshrew,19.435919,-99.0529168
sandshrew,19.4345026,-99.0536892
paras,19.4406944,-99.0490544
paras,19.4378616,-99.0501058
sandshrew,19.4360202,-99.0557492
paras,19.4332885,-99.0602767
sandshrew,19.4394803,-99.0522087
pikachu,19.4998595,-99.210754
pikachu,19.4984733,-99.2125779
pikachu,19.4969056,-99.2073423
pikachu,19.4988576,-99.2083722
pikachu,19.5007286,-99.2093164
pikachu,19.5000105,-99.2070848
pikachu,19.5020837,-99.2119986
growlithe,19.5011938,-99.2100459
growlithe,19.5001218,-99.2121381
growlithe,19.4993835,-99.2121059
growlithe,19.501032,-99.2090911
growlithe,19.5002128,-99.2079753
growlithe,19.499343,-99.2080289
growlithe,19.4990295,-99.2093807
magikarp,19.4237837,-99.1854059
magikarp,19.4231604,-99.1867644
magikarp,19.4226141,-99.1857237
magikarp,19.4228569,-99.1843396
magikarp,19.4216225,-99.1851336
magikarp,19.4241723,-99.1865498
magikarp,19.4245871,-99.1874939
magikarp,19.4241723,-99.1849726
magikarp,19.4219462,-99.1844684
magikarp,19.4224724,-99.1850263
nidorina,19.4584794,-99.0701258
nidorina,19.4573666,-99.0714991
nidorina,19.4579533,-99.068495
nidorina,19.4597338,-99.0682161
nidorina,19.4594707,-99.0699327
nidorina,19.4574273,-99.0696967
nidorina,19.4571238,-99.0745032
magmar,19.37336096,-99.15707231
magmar,19.37060793,-99.1563642
magmar,19.37149862,-99.15537715
magmar,19.37289537,-99.15561318
magmar,19.37234882,-99.15585726
magmar,19.37337108,-99.15556222
