pokestop_id,enabled,latitude,longitude,last_modified,lure_expiration,active_pokemon_id
183430c55f5c4994852e7d69215fa5e9.16,1,19.41123,-99.100271,2016-07-24 19:14:44.736000,2016-07-24 19:17:44.697000,111
b19778c71340400899a898747ee70bc6.16,1,19.432632,-99.098408,2016-07-15 16:48:34.134000,,
660fa9b8dc604d1faf417d458f2d3668.16,1,19.434607,-99.097271,2016-07-17 19:05:44.882000,,
5f70ba2944ef4503a9cbd92f8e3d91f6.16,1,19.434743,-99.099982,2016-07-20 03:50:00.469000,,
f3fe0130a19b4dd4add0b9a3b592084d.16,1,19.432323,-99.097377,2016-07-01 01:55:22.434000,,
542c9d4f9d1e422592221dea36fedf50.16,1,19.432733,-99.095908,2016-07-24 14:02:16.603000,,
f97b2497771b409e84a300d7de9e855d.16,1,19.421212,-99.078002,2016-07-24 19:15:51.797000,2016-07-24 19:18:51.683000,52
07a3143e3f8648888968c791accf8c9f.16,1,19.415022,-99.071785,2016-07-22 20:28:50.924000,,
360a7274844c4006a388e3796a3ced1f.16,1,19.421656,-99.078499,2016-07-24 18:10:02.473000,,
16386398bbd54f268d77c0e548556162.12,1,19.416758,-99.073994,2016-07-22 07:22:51.870000,,
4232a7981cfa465a954a8ef9307bbe8a.16,1,19.421488,-99.077792,2016-07-24 16:22:07.836000,,
80cfafe804c24afab2a58fd7aa5ce957.16,1,19.41515,-99.071988,2016-07-22 01:48:34.517000,,
72d26502331343bfa1a0a4cc228e55b7.16,1,19.41595,-99.06847,2016-07-24 01:05:25.433000,,
9ea61e9be7e847eaa4634e327d779aad.16,1,19.420577,-99.077012,2016-07-24 04:11:19.818000,,
390b297bcbcd4e27adf235cf174e8772.16,1,19.417479,-99.078927,2016-07-01 01:55:22.434000,,
e9fd6bc5e6d2432184b4bd755b7d6dd7.16,1,19.422328,-99.0773,2016-07-24 16:42:03.706000,,
44c8596d3c844690a90f20a596218dfc.16,1,19.421024,-99.077296,2016-07-24 12:37:39.995000,,
3be9c16be49540b89ba89f78a1942791.16,1,19.415649,-99.072404,2016-07-24 04:06:23.753000,,
77fff60feaea490ba60a9988159291ff.16,1,19.413702,-99.06597,2016-07-22 00:42:33.791000,,
a501fccff9114096aa4d1de45b9a93cf.16,1,19.417123,-99.077461,2016-07-18 04:34:34.460000,,
e003e4bc1f9b4d11bfc632b6ace131b6.16,1,19.413039,-99.070551,2016-07-22 21:22:09.886000,,
174ff34582624f6e9341e9558708f091.16,1,19.421641,-99.079173,2016-07-24 19:14:53.890000,2016-07-24 19:17:53.852000,104
3d497d006e50404799841924ffd17359.16,1,19.41986,-99.092399,2016-07-23 23:36:24.197000,,
3c22ebe614f14dcda2116fa6e0ad2c52.16,1,19.422603,-99.100226,2016-07-23 04:53:39.381000,,
39ef3e8c2bdf47fe8a94ed114cd8ec1d.16,1,19.422221,-99.092691,2016-07-01 01:55:22.434000,,
63e9a472fc054c17a0953dac7a14ded3.16,1,19.41443,-99.093547,2016-07-24 16:45:04.525000,,
0c79a6e2820f40b3abab7425ba1d8ba7.16,1,19.412365,-99.094366,2016-07-22 00:58:57.050000,,
b4dc69b60814449185f51d354fa0bf1a.16,1,19.414733,-99.094402,2016-07-01 01:55:22.434000,,
e444de4e1dae4b6e9a4da82064b1eabd.16,1,19.419658,-99.101286,2016-07-24 04:13:05.845000,,
91cc0751e98c43de979547da9c5c2284.16,1,19.417068,-99.099298,2016-07-01 01:55:22.434000,,
