bankType,bank,name,income,CAT,importantBank
Comercial,Bancomer,Azul Bancomer,5000,0.427,Bancomer
Comercial,Bancomer,Bancomer Educación,5000,0.456,Bancomer
Comercial,Bancomer,Bancomer Platinum,50000,0.246,Bancomer
Comercial,Bancomer,Congelada Bancomer,3000,0.895,Bancomer
Comercial,Bancomer,Garantizada Bancomer,5000,0.39,Bancomer
Comercial,Bancomer,HEB Visa,6000,0.671,Bancomer
Comercial,Bancomer,Mi Primera Tarjeta Bancomer,5000,0.561,Bancomer
Comercial,Bancomer,Oro Bancomer,20000,0.412,Bancomer
Comercial,Bancomer,Rayados Bancomer,5000,0.472,Bancomer
Comercial,Bancomer,Club de Privilegios Honda,6000,0.35,Bancomer
Comercial,Bancomer,IPN Bancomer,5000,0.563,Bancomer
Comercial,Bancomer,SAM'S Club Elite,25000,0.413,Bancomer
Comercial,Bancomer,SAM'S Club Style,5000,0.606,Bancomer
Comercial,HSBC,Clásica HSBC,5000,0.495,HSBC
Comercial,HSBC,Oro HSBC,12000,0.468,HSBC
Comercial,HSBC,Platinum HSBC,50000,0.352,HSBC
Comercial,HSBC,Básica HSBC,5000,0.43,HSBC
Comercial,HSBC,HSBC Advance Platinum,30000,0.315,HSBC
Comercial,HSBC,HSBC Opción,12000,0.69,HSBC
Comercial,Banco del Bajío,Visa Clásica,7000,0.362,Otro
Comercial,Banco del Bajío,Visa Básica,7000,0.386,Otro
Comercial,Banco del Bajío,Visa Oro,15000,0.35,Otro
Comercial,Mifel,Mifel Oro,20000,0.318,Otro
Comercial,Scotiabank,Scotia Travel Clásica,7500,0.68,Scotiabank
Comercial,Scotiabank,Scotia Travel Oro,15000,0.584,Scotiabank
Comercial,Scotiabank,Scotiabank Tasa Baja Clásica,7500,0.508,Scotiabank
Comercial,Scotiabank,Scotiabank Tasa Baja Oro,15000,0.484,Scotiabank
Comercial,Scotiabank,Scotia Básica,7500,0.663,Scotiabank
Comercial,Scotiabank,Scotiabank Tradicional Clásica,7500,0.612,Scotiabank
Comercial,Scotiabank,Scotiabank Tradicional Oro,15000,0.581,Scotiabank
Comercial,Scotiabank,Scotia Travel Platinum,40000,0.396,Scotiabank
Comercial,Banregio,Clásica Banregio,10000,0.52,Otro
Comercial,Banregio,IN Gold,10000,0.44,Otro
Comercial,Banregio,IN Platinum,10000,0.228,Otro
Comercial,Invex,SíCard Plus,5000,0.818,Otro
Comercial,Invex,Sí Card Platinum,5000,0.791,Otro
Comercial,Afirme,Afirme Clásica,4000,0.704,Otro
Comercial,Afirme,Afirme Oro,20000,0.48,Otro
Comercial,Banorte,Banorte Básica,3000,0.753,Banorte
Comercial,Banorte,Banorte Fácil,3000,0.183,Banorte
Comercial,Banorte,Banorte Tuzos,7000,0.437,Banorte
Comercial,Banorte,Tarjeta de Crédito Clásica,5000,0.488,Banorte
Comercial,Banorte,Tarjeta de Crédito Oro,7000,0.417,Banorte
Comercial,Banorte,Platinum,25000,0.215,Banorte
Comercial,American Express,Básica American Express,10000,0.475,American Express
Comercial,American Express,The Gold Elite Card American Express,15000,0.561,American Express
Comercial,American Express,The Platinum Credit Card American Express,30000,0.419,American Express
Departamental,Wal-Mart,Súper Tarjeta de Crédito de Banco Walmart,3500,0.533,Otro
Comercial,Inbursa,Clásica Inbursa,5000,0.413,Inbursa
Comercial,Inbursa,Enlace Médico Inbursa,10000,0.256,Inbursa
Comercial,Inbursa,Gas Natural Fenosa Inbursa,15000,0.406,Inbursa
Comercial,Inbursa,Oro Inbursa,15000,0.292,Inbursa
Comercial,Banamex,APAC,4000,0.539,Banamex
Comercial,Banamex,Affinity Card,7000,0.461,Banamex
Comercial,Banamex,América Deporteísmo,7000,0.494,Banamex
Comercial,Banamex,B-Smart Banamex,7000,0.471,Banamex
Comercial,Banamex,Best Buy,7000,0.401,Banamex
Comercial,Banamex,Citi/Aadvantage,12000,0.44,Banamex
Comercial,Banamex,Clásica Banamex,7000,0.463,Banamex
Comercial,Banamex,Deporteísmo clásica,7000,0.455,Banamex
Comercial,Banamex,La Verde Deporteísmo,7000,0.505,Banamex
Comercial,Banamex,Office Depot,7000,0.467,Banamex
Comercial,Banamex,Oro Banamex,15000,0.423,Banamex
Comercial,Banamex,Banamex Platinum,50000,0.236,Banamex
Comercial,Banamex,Pumas Deporteísmo,7000,0.481,Banamex
Comercial,Banamex,Aeroméxico Banamex White Gold,20000,0.377,Banamex
Comercial,Banamex,Aeroméxico Platinum,50000,0.327,Banamex
Comercial,Banamex,Tarjeta Banamex Teletón,7000,0.388,Banamex
Comercial,Banamex,The Home Depot,7000,0.379,Banamex
Comercial,Banamex,Tigres Deporteísmo,7000,0.444,Banamex
Comercial,Banamex,Toluca Deporteísmo,7000,0.483,Banamex
Comercial,Banamex,Travel Pass,15000,0.494,Banamex
Comercial,Santander,Santander Clásica,7500,0.373,Santander
Comercial,Santander,Flexcard,7500,0.628,Santander
Comercial,Santander,Light,7500,0.315,Santander
Comercial,Santander,Santander Oro Cash,7500,0.351,Santander
Comercial,Santander,Santander Oro,7500,0.345,Santander
Comercial,Santander,Santander Black,7500,0.351,Santander
Comercial,Santander,Santander Platino,25000,0.294,Santander
Comercial,Santander,Ferrari,25000,0.256,Santander
Comercial,Santander,Fiesta Rewards Oro,7500,0.322,Santander
Comercial,Santander,Fiesta Rewards Platino,25000,0.257,Santander
Comercial,Santander,Unisantander K,7500,0.328,Santander
Comercial,Santander,Santander Zero,2750,0.36,Santander
Comercial,Ixe,Ixe Básica,10000,0.207,Otro
Comercial,Ixe,Ixe Clásica Visa,7000,0.556,Otro
Comercial,Ixe,Ixe Oro,10000,0.38,Otro
Comercial,Ixe,Ixe Platino,50000,0.231,Otro
Comercial,Ixe,Ixe Clásica MasterCard,7000,0.553,Otro
Departamental,Soriana,Soriana Coemitida,3000,0.492,Otro
Comercial,Banco del Bajío,Visa Platinum,30000,0.252,Otro
Comercial,Invex,Tarjeta BAM,5000,0.436,Otro
Comercial,Invex,SíCard Platinum INVEX,5000,0.453,Otro
Comercial,Invex,SíCard Plus INVEX,5000,0.597,Otro
Comercial,Invex,SíCard Plus MC,5000,0.629,Otro
Comercial,Invex,Volaris INVEX,5000,0.924,Otro
Comercial,Invex,Afirme Platinum,50000,0.323,Otro
Comercial,Banorte,Mujer Banorte,7000,0.472,Banorte
Comercial,American Express,American Express Payback Gold Credit Card,15000,0.514,American Express
Departamental,Wal-Mart,Súper Tarjeta de Crédito de Bodega Aurrera,3500,0.531,Otro
Comercial,Bancomer,Afinidad UNAM Bancomer,10000,0.505,Bancomer
Comercial,Invex,INVEX Manchester United,5000,0.451,Otro
Comercial,Banorte,Banorte Los 40 Principales,5000,0.521,Banorte
Comercial,Ixe,Ixe United Universe,60000,0.254,Otro
Comercial,Ixe,Ixe United,20000,0.34,Otro
Comercial,Banamex,Travel Pass Platinum Elite,50000,0.457,Banamex
Comercial,Banamex,Deporteísmo Platinum,25000,0.21,Banamex
Departamental,Famsa,Pagos Congelados,1000,0.927,Otro
Departamental,Famsa,Famsa Oro,5000,0.721,Otro
Departamental,Wal-Mart,Súper Tarjeta de Crédito Suburbia,3500,0.482,Otro
Departamental,Wal-Mart,Súper Tarjeta de Crédito Sam's Club,3500,0.469,Otro
Comercial,Consubanco,Consutarjeta Clásica Azul,0,0.214,Otro
Comercial,Consubanco,Consutarjeta Clásica Naranja,0,0.869,Otro
Comercial,Consubanco,Consutarjeta Inicial,0,1.02,Otro
