variable,px_change,category,weight,incidence
Tomate verde,-21.29548455,"Alimentos, bebidas y tabaco",0.13051,-0.027792737
Carne de cerdo,-10.87630479,"Alimentos, bebidas y tabaco",0.69353,-0.075430437
Huevo,-9.569413815,"Alimentos, bebidas y tabaco",0.61382,-0.058738976
Papa y otros tubérculos,-8.063223954,"Alimentos, bebidas y tabaco",0.24697,-0.019913744
Aguacate,-7.536158335,"Alimentos, bebidas y tabaco",0.11338,-0.008544496
Camarón,-7.338485481,"Alimentos, bebidas y tabaco",0.08757,-0.006426312
Piña,-7.180544645,"Alimentos, bebidas y tabaco",0.01387,-0.000995942
Calabacita,-4.027104745,"Alimentos, bebidas y tabaco",0.1265,-0.005094288
Masa y harinas de maíz,-3.363743127,"Alimentos, bebidas y tabaco",0.05025,-0.001690281
Aceites y grasas vegetales comestibles,-2.914167834,"Alimentos, bebidas y tabaco",0.24481,-0.007134174
Manzana,-2.903839613,"Alimentos, bebidas y tabaco",0.22725,-0.006598976
Pan dulce,-2.044900484,"Alimentos, bebidas y tabaco",0.53265,-0.010892162
Chocolate,-1.818391171,"Alimentos, bebidas y tabaco",0.04886,-0.000888466
Gelatina en polvo,-1.818391171,"Alimentos, bebidas y tabaco",0.02674,-0.000486238
Mantequilla,-1.391283992,"Alimentos, bebidas y tabaco",0.02666,-0.000370916
Concentrados de pollo y sal,-0.852251364,"Alimentos, bebidas y tabaco",0.04673,-0.000398257
Frijol,-0.813116629,"Alimentos, bebidas y tabaco",0.28024,-0.002278678
Frijol procesado,-0.813116629,"Alimentos, bebidas y tabaco",0.05432,-0.000441685
Plátanos,-0.677830587,"Alimentos, bebidas y tabaco",0.17018,-0.001153532
Pollo,-0.516584446,"Alimentos, bebidas y tabaco",1.32296,-0.006834206
Pollos rostizados,-0.516584446,"Alimentos, bebidas y tabaco",0.3891,-0.00201003
Queso amarillo,-0.229083056,"Alimentos, bebidas y tabaco",0.02333,-5.34E-05
Queso manchego o Chihuahua,-0.204629319,"Alimentos, bebidas y tabaco",0.08501,-0.000173955
Durazno,-0.114880325,"Alimentos, bebidas y tabaco",0.05596,-6.43E-05
Pera,-0.07835802,"Alimentos, bebidas y tabaco",0.03261,-2.56E-05
"Pasteles, pastelillos y pan dulce empaquetado",0.322691679,"Alimentos, bebidas y tabaco",0.05502,0.000177545
Tostadas,0.394653292,"Alimentos, bebidas y tabaco",0.06883,0.00027164
Pan blanco,0.448242638,"Alimentos, bebidas y tabaco",0.29497,0.001322181
Pastelillos y pasteles a granel,0.554069987,"Alimentos, bebidas y tabaco",0.04887,0.000270774
Tortilla de maíz,0.578315556,"Alimentos, bebidas y tabaco",1.53994,0.008905713
Ron,0.666715045,"Alimentos, bebidas y tabaco",0.04451,0.000296755
Tortillas de harina de trigo,0.818048079,"Alimentos, bebidas y tabaco",0.09422,0.000770765
Atún y sardina en lata,1.101577776,"Alimentos, bebidas y tabaco",0.1331,0.0014662
Brandy,1.150278293,"Alimentos, bebidas y tabaco",0.06211,0.000714438
Frutas y legumbres preparadas para bebés,1.204009876,"Alimentos, bebidas y tabaco",0.01067,0.000128468
Cereales en hojuelas,1.255928634,"Alimentos, bebidas y tabaco",0.20619,0.002589599
Café tostado,1.28601529,"Alimentos, bebidas y tabaco",0.03036,0.000390434
Otros pescados y mariscos en conserva,1.302269497,"Alimentos, bebidas y tabaco",0.03705,0.000482491
Pescado,1.302269497,"Alimentos, bebidas y tabaco",0.3226,0.004201121
Galletas,1.353594793,"Alimentos, bebidas y tabaco",0.16574,0.002243448
